CH1;CH2;PPG
146.44325;127.96108;587.2241
146.43245;127.945854;587.21545
146.42752;127.93779;587.20996
146.42604;127.93336;587.2055
146.4224;127.93026;587.19574
146.41818;127.92583;587.1907
146.41449;127.92776;587.1829
146.41602;127.93385;587.1711
146.41504;127.93312;587.162
146.40694;127.924706;587.155
146.40167;127.919174;587.1482
146.40057;127.91435;587.1424
146.40216;127.91311;587.1381
146.40012;127.915;587.1396
146.39748;127.91271;587.13763
146.39334;127.91102;587.1263
146.3894;127.904625;587.11926
146.38297;127.89445;587.1135
146.3785;127.88622;587.1091
146.3728;127.878876;587.1012
146.36974;127.87568;587.0994
146.36319;127.871315;587.09534
146.36261;127.875015;587.08704
146.36205;127.88233;587.08356
146.3655;127.88768;587.077
146.36946;127.89127;587.0728
146.36327;127.88143;587.06854
146.35544;127.86996;587.065
146.35074;127.86436;587.0644
146.35641;127.86631;587.05975
146.36472;127.871506;587.05524
146.3645;127.872986;587.0506
146.36865;127.87755;587.0473
146.36887;127.880714;587.04663
146.36832;127.87559;587.0499
146.36887;127.87449;587.04706
146.36688;127.870125;587.02966
146.36743;127.87065;587.0232
146.37033;127.875305;587.0179
146.37221;127.876854;587.0096
146.3773;127.879425;587.00354
146.37184;127.871704;586.9994
146.36919;127.86364;586.9974
146.36311;127.855156;586.9872
146.35945;127.846405;586.9852
146.35493;127.8419;586.9879
146.36017;127.844444;586.9644
146.36339;127.84775;586.95654
146.3699;127.85761;586.9538
146.37599;127.86906;586.9479
146.38448;127.869934;586.9435
146.37727;127.85832;586.9391
146.37628;127.854675;586.937
146.37872;127.84977;586.93353
146.37833;127.8456;586.92804
146.38052;127.84891;586.9253
146.38345;127.85383;586.9185
146.38618;127.85895;586.91595
146.39384;127.86662;586.9118
146.39876;127.86851;586.9107
146.39015;127.86212;586.9091
146.38783;127.85434;586.90546
146.38802;127.852295;586.9034
146.38231;127.84826;586.9055
146.37816;127.83852;586.9108
146.37122;127.83072;586.9076
146.36661;127.827126;586.9042
